failed_attempts_5m,ip_reputation_score,velocity_kmh,is_tor_or_vpn,country_mismatch,hour_anomaly_score,device_trust_score,is_compromised
9,0.7488,1554.13,1,0,0.7145,0.2665,1
3,0.034,28.84,0,0,0.3924,0.7772,0
0,0.2011,7.84,0,0,0.1458,0.6447,0
0,0.1197,20.4,0,0,0.0676,0.7079,0
0,0.2432,111.2,0,0,0.1786,0.9212,0
0,0.0504,22.18,0,0,0.339,0.7531,0
0,0.2338,5.13,0,0,0.054,0.6322,0
2,0.0608,13.1,0,0,0.0827,0.9339,0
0,0.0885,84.41,0,0,0.1024,0.5918,0
0,0.104,17.7,0,0,0.1487,0.876,0
8,0.8158,79.5,1,0,0.6825,0.123,1
0,0.2501,2.03,0,0,0.0314,0.8825,0
3,0.0939,108.26,0,0,0.0341,0.9619,0
0,0.3094,30.98,0,0,0.0775,0.7511,0
0,0.1021,103.28,0,0,0.0509,0.9148,0
1,0.5015,85.25,0,0,0.0607,0.7583,0
0,0.108,66.18,0,0,0.1055,0.7778,0
0,0.2036,2.13,0,0,0.1871,0.7941,0
1,0.0642,21.9,0,0,0.1245,0.9474,0
0,0.0178,53.01,0,0,0.0303,0.9092,0
0,0.019,9.65,0,0,0.0953,0.8664,0
11,0.82,2765.25,1,0,0.8424,0.2522,1
1,0.044,24.07,0,0,0.164,0.8867,0
12,0.6637,150.5,1,0,0.9159,0.2125,1
1,0.078,0.02,0,0,0.3442,0.9574,0
0,0.2614,11.8,0,0,0.0992,0.959,0
2,0.1035,12.05,1,1,0.0744,0.9093,0
1,0.0433,52.99,0,0,0.1366,0.8529,0
0,0.056,12.41,0,1,0.04,0.9121,0
2,0.0027,32.88,0,0,0.0845,0.8555,0
0,0.0105,87.65,0,0,0.2694,0.8892,0
10,0.7608,1148.01,1,1,0.4622,0.0627,1
1,0.3252,37.04,0,0,0.2608,0.8748,0
0,0.0944,33.26,0,1,0.0905,0.9218,0
1,0.0903,79.13,0,0,0.002,0.9836,0
8,0.7947,73.27,1,0,0.8466,0.2152,1
0,0.0943,15.5,0,0,0.0503,0.7663,0
0,0.0488,3.44,0,0,0.1022,0.8848,0
2,0.2705,7.31,0,0,0.1739,0.8331,0
10,0.578,2835.53,1,0,0.7797,0.0871,1
0,0.222,52.1,0,0,0.5927,0.8251,0
0,0.014,26.41,0,0,0.0515,0.9552,0
1,0.0858,1.23,0,0,0.1653,0.8432,0
0,0.0174,16.94,0,0,0.0507,0.8477,0
0,0.1087,3.11,0,0,0.1601,0.7797,0
0,0.0389,4.02,0,0,0.2843,0.9075,0
1,0.1518,29.43,0,0,0.2995,0.952,0
0,0.1053,41.86,0,0,0.0483,0.7941,0
0,0.2946,6.52,0,0,0.2731,0.8506,0
0,0.0601,30.96,0,0,0.0788,0.9263,0
1,0.0204,53.07,0,1,0.1445,0.9558,0
9,0.4573,1431.88,0,0,0.3419,0.1657,1
0,0.0214,53.69,0,0,0.1967,0.9548,0
0,0.192,9.61,0,0,0.0557,0.9022,0
1,0.0645,27.75,0,0,0.1883,0.8541,0
0,0.0918,68.41,0,0,0.1648,0.9186,0
0,0.1998,60.95,0,0,0.1329,0.9759,0
18,0.8313,1151.77,1,1,0.4323,0.3547,1
0,0.0102,6.99,0,0,0.0221,0.8345,0
0,0.0139,26.71,0,0,0.0775,0.9263,0
0,0.2595,34.12,0,0,0.1056,0.7616,0
0,0.1176,46.41,0,0,0.3952,0.8101,0
0,0.1759,22.55,0,0,0.2377,0.9534,0
0,0.266,10.01,0,0,0.1551,0.7292,0
0,0.2116,31.23,0,0,0.113,0.894,0
0,0.0272,89.53,0,0,0.2013,0.9272,0
0,0.2626,5.2,0,0,0.0863,0.8799,0
1,0.2014,11.88,0,0,0.0682,0.8737,0
0,0.1793,25.76,0,1,0.0103,0.7365,0
2,0.0693,29.04,0,0,0.305,0.9665,0
1,0.0677,30.47,0,1,0.17,0.5684,0
5,0.9117,17.75,1,0,0.7901,0.0383,1
1,0.093,2.15,0,0,0.3291,0.773,0
0,0.0072,11.83,0,0,0.0081,0.8464,0
0,0.0868,21.94,0,0,0.0367,0.9292,0
1,0.0287,108.31,0,1,0.0903,0.7575,0
0,0.0999,11.19,0,0,0.105,0.9682,0
0,0.0555,157.27,0,0,0.0757,0.9004,0
8,0.622,2361.39,1,1,0.8471,0.3487,1
1,0.063,103.72,0,0,0.1849,0.8994,0
0,0.0582,2.12,0,0,0.0228,0.9855,0
0,0.1116,14.97,0,0,0.0765,0.9491,0
6,0.9241,26.7,1,1,0.4508,0.1375,1
1,0.2242,28.73,0,0,0.1502,0.6658,0
0,0.0881,2.73,0,0,0.1212,0.8687,0
1,0.0425,89.06,0,0,0.2613,0.946,0
0,0.1277,48.74,0,1,0.3437,0.8061,0
2,0.1766,109.61,0,0,0.1406,0.9797,0
0,0.0247,31.68,0,0,0.3978,0.8313,0
1,0.2813,91.83,0,0,0.0193,0.8841,0
0,0.06,29.31,0,0,0.2599,0.9869,0
1,0.0852,14.76,0,0,0.0474,0.8941,0
0,0.0743,30.01,0,0,0.0879,0.9169,0
0,0.1195,4.67,0,0,0.1276,0.9617,0
0,0.0406,0.11,0,0,0.4753,0.8707,0
0,0.0719,39.0,0,0,0.2547,0.8248,0
0,0.0576,30.73,0,0,0.2404,0.8211,0
0,0.0837,3.13,0,0,0.027,0.816,0
0,0.0997,18.08,0,1,0.0998,0.7551,0
0,0.1607,76.47,0,0,0.415,0.8299,0
0,0.0953,42.11,0,0,0.233,0.7337,0
0,0.0422,14.39,0,0,0.2821,0.9282,0
2,0.0772,6.03,0,0,0.1856,0.7831,0
0,0.0264,35.61,0,0,0.0149,0.6918,0
0,0.0105,60.05,0,0,0.5029,0.6923,0
0,0.0931,16.48,0,0,0.0513,0.7302,0
3,0.1087,37.22,0,0,0.111,0.7455,0
0,0.2379,1.54,0,0,0.2046,0.9466,0
0,0.0746,2.54,0,0,0.4227,0.8113,0
11,0.8305,94.85,0,1,0.6306,0.0889,1
10,0.6496,1575.8,0,1,0.6715,0.1572,1
0,0.2584,32.7,0,0,0.0581,0.9968,0
0,0.0273,42.21,0,0,0.0306,0.8984,0
0,0.0241,35.8,0,0,0.0159,0.9346,0
8,0.7911,2555.34,1,1,0.6604,0.1627,1
0,0.0128,16.8,0,0,0.044,0.8659,0
0,0.4104,3.88,0,0,0.263,0.8783,0
0,0.0128,59.14,0,0,0.1732,0.9708,0
0,0.0619,27.31,0,0,0.4304,0.7024,0
1,0.0102,7.36,0,0,0.0711,0.9599,0
15,0.725,53.58,1,0,0.5699,0.1543,1
0,0.0688,19.03,0,0,0.0911,0.9,0
0,0.0525,17.1,0,0,0.3196,0.7232,0
0,0.0261,38.74,0,0,0.1872,0.8641,0
0,0.1216,5.13,0,0,0.0023,0.9013,0
0,0.1087,100.86,0,0,0.0881,0.9194,0
0,0.1072,8.57,0,0,0.2175,0.9795,0
0,0.0541,23.02,0,0,0.1888,0.9415,0
1,0.089,11.89,0,0,0.0566,0.9263,0
0,0.1063,34.51,0,0,0.6079,0.8808,0
0,0.124,5.31,0,0,0.1364,0.887,0
0,0.3221,29.47,0,1,0.0321,0.9409,0
0,0.0634,59.9,0,0,0.223,0.7828,0
2,0.3388,6.15,0,0,0.1158,0.6656,0
0,0.1004,38.16,0,0,0.4097,0.9668,0
0,0.0851,22.05,0,0,0.2633,0.7624,0
0,0.153,33.55,0,0,0.1449,0.8285,0
0,0.0941,69.15,0,0,0.0196,0.7207,0
0,0.0588,83.88,0,0,0.0993,0.9279,0
1,0.1267,0.77,0,0,0.2645,0.7853,0
0,0.0731,64.49,0,0,0.2197,0.8735,0
1,0.0083,61.18,0,0,0.1819,0.8703,0
0,0.1585,41.16,0,0,0.3325,0.8985,0
0,0.0597,32.05,0,1,0.1664,0.5555,0
9,0.8415,1985.46,1,1,0.8697,0.0044,1
0,0.3129,27.13,0,0,0.1004,0.6424,0
0,0.0667,33.2,0,0,0.258,0.8191,0
4,0.8717,2082.01,0,1,0.76,0.3216,1
0,0.1,91.83,0,0,0.1661,0.9931,0
0,0.0454,33.99,0,0,0.0776,0.9834,0
1,0.1581,17.52,0,0,0.1326,0.6914,0
1,0.0997,80.94,0,0,0.0569,0.8993,0
1,0.0426,12.77,0,0,0.0908,0.7144,0
0,0.1542,79.12,0,0,0.2702,0.8944,0
0,0.0535,68.43,0,0,0.0906,0.9088,0
0,0.053,72.24,0,0,0.0373,0.858,0
12,0.7454,20.42,0,1,0.8308,0.0332,1
2,0.0573,21.42,0,0,0.1183,0.9853,0
1,0.2699,42.35,0,0,0.5972,0.9601,0
0,0.0847,1.17,0,0,0.2628,0.6689,0
0,0.0096,4.75,0,0,0.1034,0.9199,0
1,0.3336,21.93,0,0,0.1496,0.8646,0
0,0.0356,4.37,0,0,0.0455,0.6655,0
1,0.1531,98.79,0,0,0.2204,0.7658,0
0,0.0503,21.33,0,0,0.32,0.888,0
0,0.034,4.82,0,0,0.2594,0.8396,0
3,0.066,128.66,0,0,0.1109,0.8649,0
15,0.6579,13.34,0,0,0.76,0.1093,1
0,0.0246,26.1,0,0,0.1878,0.9088,0
0,0.1066,24.33,0,0,0.0611,0.9924,0
0,0.2406,10.65,0,0,0.0114,0.8803,0
0,0.0331,0.13,0,0,0.4959,0.7357,0
1,0.2937,20.31,0,0,0.0877,0.9862,0
1,0.1541,7.02,0,0,0.1968,0.6894,0
1,0.0763,4.81,0,0,0.2797,0.9198,0
0,0.0718,13.86,0,0,0.0261,0.86,0
1,0.164,114.88,0,0,0.1034,0.6417,0
0,0.2291,102.41,0,0,0.2679,0.7867,0
0,0.1769,15.21,0,0,0.1926,0.895,0
0,0.2552,6.59,0,0,0.1,0.9809,0
1,0.0557,64.39,0,0,0.0266,0.5595,0
0,0.12,27.44,0,0,0.4203,0.992,0
10,0.6606,7.91,1,0,0.6504,0.4712,1
0,0.058,23.13,0,0,0.2024,0.6534,0
1,0.1682,7.74,0,0,0.3709,0.8481,0
0,0.0062,28.95,0,0,0.3149,0.7395,0
1,0.1457,11.59,0,0,0.1212,0.9594,0
1,0.0524,27.25,0,0,0.2281,0.8833,0
0,0.1465,142.4,0,0,0.3102,0.8981,0
0,0.0642,12.05,0,0,0.4058,0.8265,0
0,0.0745,64.67,0,0,0.0345,0.9787,0
1,0.0977,41.16,0,0,0.3073,0.7244,0
0,0.0867,6.41,0,0,0.1169,0.6158,0
1,0.1621,72.29,0,0,0.1205,0.6419,0
0,0.0647,27.57,0,0,0.0169,0.9033,0
9,0.8813,1443.12,1,0,0.7043,0.1785,1
0,0.1891,13.76,0,1,0.3932,0.7921,0
0,0.3121,12.99,0,0,0.2667,0.9612,0
2,0.0062,23.56,0,0,0.0547,0.8549,0
0,0.0141,7.29,0,0,0.1614,0.7782,0
8,0.7208,56.51,0,0,0.6314,0.0863,1
0,0.1313,35.79,0,0,0.1186,0.8831,0
0,0.1626,27.35,0,0,0.1883,0.8564,0
1,0.2367,10.58,0,0,0.3972,0.7716,0
1,0.18,5.27,0,0,0.0432,0.8227,0
12,0.775,19.92,1,0,0.5893,0.0139,1
0,0.1076,18.94,0,0,0.0322,0.8338,0
0,0.0567,12.57,0,0,0.1815,0.9279,0
0,0.0155,7.25,0,0,0.4781,0.8864,0
0,0.0948,39.93,0,0,0.3132,0.7526,0
1,0.3317,35.18,0,0,0.2431,0.5406,0
0,0.0998,0.33,0,0,0.0528,0.9313,0
0,0.076,19.04,0,0,0.0978,0.4953,0
0,0.037,4.97,0,0,0.1073,0.8914,0
16,0.4603,153.71,1,0,0.8514,0.3212,1
7,0.8047,65.81,0,0,0.8346,0.1977,1
4,0.8922,1365.14,1,1,0.3632,0.183,1
0,0.0419,12.2,0,0,0.1577,0.7915,0
0,0.0022,42.08,0,0,0.1474,0.9018,0
1,0.1565,81.87,0,0,0.3051,0.9648,0
2,0.0589,55.56,0,0,0.0824,0.8953,0
0,0.0143,12.19,0,0,0.3021,0.9002,0
0,0.3225,56.83,0,0,0.3154,0.9327,0
0,0.0458,37.63,0,0,0.1848,0.9117,0
0,0.0839,9.96,0,0,0.2298,0.7138,0
8,0.7221,3168.95,0,1,0.3486,0.2328,1
4,0.3441,8.66,1,0,0.8418,0.3339,1
18,0.6021,1350.96,0,1,0.4681,0.1982,1
0,0.0246,0.79,0,0,0.4515,0.5345,0
1,0.0291,104.5,0,0,0.4726,0.6348,0
0,0.0637,31.58,0,0,0.0879,0.5876,0
0,0.0301,13.19,0,0,0.1435,0.9059,0
0,0.2048,23.93,0,0,0.4427,0.9086,0
0,0.1577,13.87,0,0,0.2565,0.9214,0
0,0.0194,50.51,0,0,0.1978,0.8635,0
1,0.0747,27.01,0,0,0.2422,0.7025,0
1,0.1978,47.57,0,0,0.0503,0.836,0
0,0.1124,13.91,0,0,0.1473,0.8008,0
0,0.1395,16.81,0,0,0.0052,0.9034,0
1,0.167,66.96,0,0,0.1623,0.598,0
1,0.0961,42.16,0,0,0.0047,0.9281,0
1,0.1034,72.16,0,0,0.0835,0.9168,0
0,0.1166,7.48,0,0,0.291,0.9436,0
1,0.0905,8.19,0,1,0.2961,0.7919,0
0,0.1779,27.59,0,0,0.0976,0.9537,0
0,0.066,36.44,0,0,0.1324,0.8496,0
1,0.0408,6.08,0,1,0.3183,0.9375,0
1,0.0383,31.82,0,0,0.215,0.7962,0
0,0.0413,19.73,0,0,0.1683,0.9213,0
0,0.0574,27.0,0,0,0.1387,0.965,0
0,0.0352,27.54,0,0,0.0385,0.9766,0
0,0.0115,48.7,0,0,0.2622,0.9225,0
0,0.0191,55.47,0,0,0.4108,0.8999,0
14,0.5609,36.57,1,1,0.7796,0.1761,1
1,0.0671,13.52,0,0,0.4112,0.6145,0
7,0.4716,2393.38,1,1,0.8336,0.2067,1
0,0.0637,59.24,0,0,0.1396,0.9084,0
0,0.0638,10.97,0,0,0.0132,0.9261,0
1,0.0706,29.87,0,0,0.2957,0.917,0
0,0.0996,21.0,0,0,0.2904,0.7881,0
1,0.0299,28.36,0,0,0.05,0.8988,0
3,0.1209,30.76,0,0,0.3191,0.6968,0
0,0.0514,17.87,0,0,0.0016,0.8769,0
0,0.0467,79.43,0,0,0.2783,0.7687,0
0,0.118,78.2,0,0,0.1588,0.8612,0
1,0.1593,6.87,0,0,0.1616,0.9459,0
12,0.8303,1003.54,0,0,0.638,0.1455,1
0,0.0438,42.29,0,0,0.0698,0.706,0
3,0.0587,11.08,0,0,0.3653,0.9443,0
0,0.0924,10.35,0,0,0.1577,0.926,0
0,0.1167,16.8,0,0,0.288,0.6954,0
0,0.1566,99.64,0,0,0.142,0.9037,0
0,0.016,31.57,0,0,0.1324,0.9584,0
2,0.0435,9.4,0,0,0.1449,0.8197,0
0,0.1468,52.15,0,0,0.0069,0.8545,0
0,0.0985,7.05,0,0,0.6013,0.7998,0
0,0.0838,11.65,0,0,0.1263,0.5245,0
2,0.6889,48.39,1,1,0.6587,0.1743,1
0,0.1085,38.76,0,0,0.0892,0.9366,0
0,0.0173,18.94,0,0,0.2798,0.9414,0
0,0.1648,51.44,0,0,0.017,0.9099,0
0,0.0547,9.78,0,0,0.183,0.9807,0
0,0.1129,77.0,0,0,0.0611,0.8018,0
0,0.2731,10.0,0,0,0.2183,0.9061,0
0,0.0302,41.24,0,0,0.4004,0.8258,0
0,0.1763,26.08,0,0,0.2607,0.8191,0
0,0.1,178.65,0,0,0.0765,0.6001,0
1,0.0649,2.28,0,0,0.3847,0.6809,0
0,0.3179,46.18,0,0,0.2423,0.7532,0
1,0.1153,50.39,0,0,0.0944,0.7663,0
0,0.1165,60.44,0,0,0.1784,0.9868,0
0,0.0919,6.55,0,0,0.217,0.9962,0
0,0.2408,41.34,0,1,0.0084,0.7197,0
0,0.0409,34.4,0,0,0.3554,0.9731,0
0,0.0407,2.09,0,0,0.419,0.9213,0
1,0.034,9.56,0,0,0.1805,0.6087,0
0,0.0598,7.16,0,0,0.0559,0.918,0
3,0.9262,1060.27,1,1,0.8505,0.3825,1
1,0.2195,10.62,0,0,0.004,0.8158,0
1,0.0383,16.5,0,0,0.4002,0.8838,0
1,0.0499,60.5,0,0,0.1935,0.7772,0
8,0.801,24.68,0,1,0.4288,0.1276,1
1,0.2387,2.12,0,0,0.0281,0.7988,0
0,0.073,20.39,0,0,0.0887,0.8773,0
0,0.1177,40.68,0,0,0.1872,0.9477,0
0,0.0966,27.39,0,0,0.4777,0.7142,0
0,0.264,83.44,0,0,0.4449,0.8136,0
0,0.0543,36.77,0,0,0.0095,0.8742,0
0,0.0088,60.75,0,1,0.0133,0.7608,0
2,0.1777,3.53,0,0,0.192,0.9024,0
19,0.9388,104.01,0,0,0.4187,0.1233,1
0,0.0252,8.04,0,0,0.0606,0.9038,0
1,0.1699,99.09,0,0,0.2954,0.948,0
0,0.1179,15.83,0,0,0.0323,0.8142,0
0,0.0692,56.23,0,0,0.1859,0.8057,0
0,0.0217,7.11,0,0,0.0369,0.8051,0
0,0.1884,39.54,0,0,0.302,0.9147,0
1,0.0763,47.97,0,0,0.0141,0.5462,0
1,0.218,34.29,0,0,0.214,0.8485,0
1,0.0716,84.45,0,0,0.3209,0.5422,0
0,0.0254,58.96,0,0,0.4735,0.8909,0
0,0.1757,86.08,0,0,0.2112,0.8584,0
0,0.1273,20.85,0,1,0.0582,0.8919,0
2,0.1242,91.51,0,0,0.113,0.7978,0
0,0.1198,15.77,0,0,0.1497,0.739,0
1,0.1244,31.28,0,0,0.1262,0.9435,0
0,0.1206,7.08,0,0,0.321,0.8255,0
0,0.0452,27.7,0,0,0.07,0.7853,0
0,0.0602,27.85,0,0,0.4078,0.7914,0
6,0.4516,29.92,1,0,0.8047,0.0368,1
1,0.0263,7.01,0,0,0.103,0.8459,0
1,0.0553,113.33,0,0,0.1002,0.9612,0
0,0.1913,33.54,0,0,0.0514,0.9305,0
0,0.0378,11.25,0,0,0.3094,0.9583,0
0,0.1429,76.38,0,0,0.0339,0.9306,0
0,0.144,3.74,0,0,0.1583,0.9406,0
1,0.0257,5.66,0,0,0.0062,0.5412,0
0,0.1457,36.36,0,0,0.0307,0.968,0
0,0.1186,5.34,0,0,0.1208,0.6105,0
0,0.0554,46.82,0,0,0.0244,0.9101,0
1,0.0768,23.82,0,0,0.0294,0.766,0
0,0.3228,53.19,0,0,0.1996,0.9833,0
0,0.0989,32.2,0,0,0.4762,0.8278,0
0,0.0889,38.96,0,0,0.3639,0.8657,0
0,0.1173,86.29,0,0,0.1356,0.9168,0
2,0.6992,54.94,0,1,0.4337,0.1124,1
7,0.9058,7.64,0,1,0.8499,0.164,1
0,0.0787,26.42,0,0,0.0005,0.7707,0
1,0.0482,17.8,0,0,0.2114,0.8864,0
0,0.0385,60.82,0,0,0.2864,0.8643,0
0,0.0387,23.21,0,0,0.3582,0.9725,0
0,0.0567,11.19,0,0,0.099,0.7322,0
1,0.0328,102.13,0,0,0.1642,0.9594,0
1,0.2379,29.88,0,0,0.1105,0.8779,0
1,0.0898,14.03,0,0,0.239,0.5827,0
0,0.1197,8.83,0,0,0.1008,0.9027,0
0,0.2313,2.49,0,0,0.2536,0.8229,0
5,0.783,2969.73,1,1,0.6322,0.0146,1
8,0.9058,2876.88,1,0,0.4889,0.1052,1
0,0.0786,52.63,0,0,0.1068,0.9796,0
0,0.1447,37.36,0,0,0.0482,0.7347,0
12,0.8496,1760.85,1,1,0.7879,0.3246,1
2,0.0141,7.28,0,0,0.1979,0.7628,0
0,0.2644,26.19,0,0,0.238,0.9576,0
0,0.1263,88.55,0,0,0.5324,0.8454,0
0,0.0889,8.83,0,0,0.0175,0.9335,0
4,0.0047,0.91,1,0,0.1141,0.9447,0
14,0.466,30.67,0,1,0.6319,0.0055,1
0,0.1744,139.94,0,0,0.177,0.968,0
1,0.1525,59.2,0,1,0.2571,0.8157,0
0,0.176,82.71,0,0,0.033,0.5402,0
6,0.6902,1081.99,1,0,0.7647,0.079,1
9,0.7975,72.74,1,0,0.6739,0.3577,1
0,0.1707,34.0,0,0,0.0222,0.9609,0
0,0.039,17.65,0,0,0.0431,0.8935,0
3,0.2138,57.17,0,0,0.3636,0.908,0
0,0.0837,38.62,0,0,0.0035,0.6533,0
1,0.1554,37.98,0,0,0.4815,0.7024,0
0,0.1304,50.05,0,0,0.161,0.9938,0
0,0.0625,23.76,0,0,0.2404,0.9425,0
2,0.2335,68.08,1,0,0.176,0.5878,0
0,0.0424,36.0,0,0,0.4441,0.873,0
0,0.1086,6.76,0,0,0.0523,0.9539,0
0,0.0184,19.67,0,0,0.1956,0.6392,0
1,0.112,34.87,0,0,0.1831,0.7136,0
3,0.9584,2499.64,1,1,0.4807,0.028,1
1,0.2269,145.6,0,0,0.4636,0.9877,0
0,0.1701,13.12,0,0,0.1064,0.9251,0
2,0.0536,4.7,0,0,0.1288,0.709,0
0,0.0821,54.65,0,0,0.1476,0.8098,0
0,0.1302,286.04,0,0,0.0367,0.8796,0
1,0.0416,46.1,0,0,0.4173,0.9143,0
1,0.1308,10.72,0,0,0.1854,0.8293,0
2,0.1124,44.11,0,0,0.3411,0.8407,0
9,0.8677,1.51,0,1,0.6738,0.129,1
0,0.024,33.89,0,0,0.0193,0.758,0
0,0.2535,5.44,0,0,0.1708,0.7567,0
1,0.1233,17.25,0,0,0.0656,0.875,0
0,0.1125,63.61,0,0,0.0753,0.8853,0
0,0.1324,1.74,0,0,0.0231,0.8453,0
0,0.1229,7.41,0,0,0.0863,0.9002,0
0,0.0518,3.49,0,0,0.1872,0.8331,0
0,0.0605,36.85,0,0,0.2387,0.8082,0
1,0.1387,27.63,0,0,0.1251,0.9399,0
3,0.8072,2223.52,1,0,0.2507,0.0076,1
0,0.0533,31.54,0,0,0.2351,0.7921,0
0,0.1177,71.65,0,0,0.1318,0.5881,0
0,0.0859,38.34,0,0,0.2348,0.9094,0
8,0.8418,31.0,1,1,0.9577,0.3243,1
1,0.0046,1.24,0,0,0.1018,0.8341,0
0,0.1021,57.93,0,0,0.5345,0.8319,0
0,0.0985,55.65,0,0,0.043,0.8654,0
0,0.2171,32.69,0,0,0.1696,0.8996,0
2,0.1187,17.94,0,0,0.203,0.8442,0
2,0.0273,7.91,0,0,0.0315,0.8724,0
1,0.2295,5.65,0,0,0.1821,0.9756,0
0,0.218,12.96,0,0,0.2152,0.9565,0
0,0.0411,48.69,0,0,0.2242,0.903,0
0,0.0185,1.33,0,0,0.2755,0.892,0
0,0.0974,16.07,0,0,0.0413,0.8032,0
6,0.8981,23.98,1,1,0.9173,0.0034,1
0,0.232,14.63,0,1,0.0391,0.9733,0
0,0.145,3.84,0,0,0.2053,0.7072,0
0,0.0571,114.88,0,0,0.1718,0.8216,0
0,0.1664,7.14,0,0,0.0189,0.9063,0
0,0.0278,95.04,0,0,0.3039,0.9867,0
0,0.214,153.5,0,0,0.4355,0.7779,0
0,0.2041,46.1,0,0,0.0576,0.9837,0
0,0.0364,5.06,0,0,0.3712,0.9426,0
1,0.1269,62.57,0,0,0.0636,0.8973,0
0,0.0288,10.88,0,0,0.1028,0.8883,0
0,0.0228,13.72,0,0,0.0359,0.9362,0
0,0.1016,2.88,0,0,0.2266,0.8865,0
0,0.0579,23.13,0,0,0.0967,0.8547,0
13,0.8649,2110.28,1,0,0.8193,0.0986,1
0,0.0202,42.38,0,0,0.1562,0.9265,0
9,0.7219,41.1,0,1,0.9082,0.6369,1
0,0.0768,18.1,0,0,0.0988,0.6298,0
0,0.0416,23.41,0,1,0.1342,0.9844,0
0,0.0352,6.79,0,0,0.242,0.6515,0
1,0.0805,26.98,0,0,0.1028,0.8643,0
1,0.099,37.78,1,0,0.0203,0.8871,0
0,0.0299,34.6,0,0,0.0613,0.9055,0
0,0.3219,34.06,0,0,0.0832,0.8072,0
1,0.0096,25.15,0,0,0.1113,0.7047,0
0,0.1368,29.19,0,0,0.1214,0.8506,0
0,0.1752,55.65,0,0,0.1119,0.8668,0
1,0.0632,14.95,0,0,0.0759,0.7134,0
0,0.1199,38.57,0,0,0.2351,0.688,0
0,0.1289,13.72,0,0,0.135,0.8275,0
11,0.897,36.36,1,0,0.6606,0.0329,1
0,0.0397,190.42,0,0,0.1865,0.5511,0
1,0.012,0.47,0,0,0.0239,0.5858,0
2,0.057,8.03,0,0,0.0929,0.6835,0
0,0.0374,13.83,0,0,0.1299,0.8043,0
1,0.3164,5.97,0,0,0.0681,0.6573,0
0,0.1673,12.24,0,0,0.0398,0.9172,0
0,0.3985,8.74,0,0,0.0999,0.7509,0
0,0.1286,24.82,0,0,0.2352,0.9668,0
1,0.1248,57.89,0,0,0.071,0.6916,0
0,0.112,17.9,0,0,0.2119,0.755,0
